codevac;codedossier;description;ordre;estb;esth;famille;image
2;14408;Lot de NAPPERONS et mouchoirs.;305;0;0;10;119377.jpg
2;14408;Parure comprenant nappe et huit serviettes.;303;0;0;10;119378.jpg
2;14408;SIENKIEWICZ (H.). Quo Vadis. Illustrations de Jan Styka. Gravures de Jean Lemoine. Traduction nouvelle par E. Halpérine-Kaminsky. Paris, Flammarion, (1904). 3 vol. in folio.;31;0;0;15;119379.jpg
2;14408;ALCOTT Louisa May - Les quatre soeurs Marsch (little women) - Paris Delagrave 1936;30;0;0;15;119380.jpg
2;14408;"Jules VERNE. Le Village aérien-Les Histoires de Jean-marie Cabidoulin. Cartonnage Cartonnage ""à la sphère dorée"". Ed. Hetzel.";29;0;0;15;119381.jpg
2;14408;"Jules VERNE. Le Testament d'un excentrique. Cartonnage Cartonnage ""à la sphère dorée"". Ed. Hetzel.";28;0;0;15;119382.jpg
2;14408;Jules VERNE. Le volcan d'or. cartonnage à un éléphant, titre dans l'éventail. Dos au phare. Ed. Hetzel.;27;0;0;15;119383.jpg
2;14408;Jules VERNE. L'Agence Thomson and Co. cartonnage à un éléphant, titre dans l'éventail. Dos au phare. Ed. Hetzel.;26;0;0;15;119384.jpg
2;13644;MENAGERE en métal argenté et lot de couverts en métal argenté divers.;301;0;0;2;119385.jpg
2;13644;Lot de METAL ARGENTE divers.;300;0;0;2;119386.jpg
2;18;BAGUE SERRE de petit doigt, articulée, en argent.;158;0;0;4;119387.jpg
2;18;Lot de deux COUPE-PAPIERS , l'un le manche en fer canon de fusil orné d'une couronne de baron, l'autre la lame en fer damasquiné d'or.;230;0;0;4;119388.jpg
2;18;CROCHET de billot de fusils à aiguiser de boucher, en fonte de fer et laiton à décor d'un paon.;229;0;0;4;119389.jpg
2;18;MECANISME de pistolet en silex en fer gravé de rinceaux.;228;0;0;4;119390.jpg
2;18;Lot de trois VERRES, en cristal taillé et gravé à décor de ruches et attributs musicaux, deux autres en verre.;227;0;0;4;119391.jpg
2;18;Lot de trois COLLIERS ethniques dont un perles de marbre rose.;226;0;0;4;119392.jpg
2;18;BRACELET en argent à décor de pièces de monnaies russes XIXe;225;0;0;4;119393.jpg
2;18;TETE de phonographe PATHE.;224;0;0;4;119394.jpg
2;18;PRESSE-PAPIERS losangique en marbre jaune et porphyre rouge.;223;0;0;4;119395.jpg
2;18;FERMOIR de coffre en fer et laiton. Afrique du Nord.;222;0;0;4;119396.jpg
2;18;BOITE à épices en bois laqué rouge et noir, Inde.;221;0;0;4;119397.jpg
2;18;PINCE à PAPIERS en laiton argent en forme de plume de stylo.;220;0;0;4;119398.jpg
2;18;MARQUE d'atout annoté NO TRUMPS.;219;0;0;4;119399.jpg
2;18;Deux BRACELETS ethniques en argent.;218;0;0;4;119400.jpg
2;952;Un coffret et son contenu de bijoux fantaisie. ;285;0;0;17;119401.jpg
2;952;Un coffret et son contenu de bibelots divers (fume-cigarette, balancier, petites boites, etc). ;284;0;0;17;119591.jpg
2;952;Un fort lot de bijoux fantaisie (chaines, broches, bracelets, etc). ;283;0;0;17;119592.jpg
2;952;Un lot avec bourse en métal doré, presse-papier main, animaux et divers. ;282;0;0;17;119593.jpg
2;952;Un lot comprenant des bijoux ethniques, des broches, etc. ;281;0;0;17;119594.jpg
2;952;Un lot avec flacons à sel, en nacre et métal. ;280;0;0;17;119595.jpg
2;952;Un lot avec un élégant porte-monnaie, un étui à lunette, un face-à-main et un bracelet. ;279;0;0;17;119596.jpg
2;952;Un lot comprenant des briquets, un coupe cigare Dunhill, briquet miniature, dé et tabatières diverses en forme de chaussure. ;278;0;0;17;119720.jpg
2;952;Un lot de bijoux fantaisie, broche strass, boucles d'oreilles, pendentif. ;277;0;0;17;119402.jpg
2;952;Un lot comprenant un poudrier, des épingles à chapeau, un petit étui, un oeuf en bois sculpté et divers. ;276;0;0;17;119403.jpg
2;952;Un lot de boîtes. ;275;0;0;17;119408.jpg
2;952;Un lot de chapelets boîtes, croix, médailles religieuses et reliquaires. ;274;0;0;17;119405.jpg
2;952;Un lot de cadre et miniatures photos. ;273;0;0;17;119406.jpg
2;952;Un lot de montres diverses. ;272;0;0;17;119409.jpg
2;952;Lot comprenant une pendulette Lancel, un briquet Dupont, et un briquet de table Dupont. ;271;0;0;17;119410.jpg
2;952;Un lot de bijoux fantaisie, broches, boucles d'oreilles. ;270;0;0;17;119411.jpg
2;952;Un lot avec des bourses maille, des bracelets, une paire de mouchette, coquetier, boussole, étuis, et divers. ;269;0;0;17;119412.jpg
2;117;Belle CHEMISE de femme les boutons en perle de culture.;292;0;0;10;119413.jpg
2;18;Lot de cartes publicitaires en chromolithographie sur la poste dans le monde entier. Fin XIXe;197;0;0;4;119414.jpg
2;18;Lot de lettres patentes et articles de loi sur la Poste, 1790-1791.;184;0;0;4;119415.jpg
2;18;PROJET de CARTE à JOUER à l'aquarelle. On y joint un feuillet des prix marchand des cartes à jouer de la fabriquer RIDAN, XIXe;161;0;0;4;119416.jpg
2;14178;TABLE basse en acajou style bateau.;381;0;0;10;119417.jpg
2;14008;Lot en métal argenté comprenant deux pinces à sucre, un ciseau à raisin, une pelle à friandise, une louche;302;0;0;2;119418.jpg
2;14008;SAC perlé à décor floral stylisé et sac à main croco.;304;0;0;10;119419.jpg
2;952;Un lot de bijoux fantaisie, avec colliers, broches strass, boucles d'oreilles, et divers. ;246;0;0;17;119420.jpg
2;952;Un lot de mercerie, avec boutons, dés, et paires de ciseaux. ;245;0;0;17;119421.jpg
2;952;Un lot de boîtes à pilules diverses. ;244;0;0;17;119422.jpg
2;952;Un lot de boussoles, pendulettes, et divers. ;243;0;0;17;119423.jpg
2;952;Un lot de stylos et porte-mines. ;242;0;0;17;119459.jpg
2;952;Un lot boîtes porcelaine, poudriers, peignes, tête de boite poudreuse, petits portes monnaies, etc. ;241;0;0;17;119471.jpg
2;952;Un lot de coupes-papier, cachets,et signets. ;240;0;0;17;119491.jpg
2;952;Un lot de montres fantaisie, diverses. ;239;0;0;17;119492.jpg
2;952;Un lot de portes-Louis. ;238;0;0;17;119493.jpg
2;952;Un lot de pipes. joint au lot 238;237;0;0;17;119494.jpg
2;952;Un lot de quatre petits animaux. ;236;0;0;17;119495.jpg
2;952;Un lot de quatre briquets Dupont. ;235;0;0;17;119496.jpg
2;952;Un lot d'objets en nacre (boucles de ceinture, cachets, chapelets, broches, etc). ;234;0;0;17;119234.jpg
2;952;Un lot de broches, miniatures et métal doré. ;233;0;0;17;119235.jpg
2;952;Un lot de lorgnons et face-à-main, en l'état. ;232;0;0;17;119236.jpg
2;952;Lot de sept montres de gousset, argent et métal. ;231;0;0;17;119237.jpg
2;13548;Une suite de sept verres à orangeade en cristal taillé. ;151;0;0;17;119238.jpg
2;1128;Un carton comprenant des appliques décoratives, lot de métal argenté, vases, etc.;60;0;0;17;119239.jpg
